date,open_interest,lev_money_net,lev_money_cot_index,asset_mgr_net,asset_mgr_cot_index,dealer_net,dealer_cot_index
2010-08-31,357315,-18881,49.12206795270108,-67212,29.296358928288324,117976,100.0
2010-09-07,349561,-24284,45.960810470824335,-59962,32.48912258450915,115519,99.06024096385542
2010-09-14,472288,-24669,45.73554966561935,-24939,47.91259314062252,76882,84.28227194492254
2010-09-21,346065,24172,74.31207690462399,11496,63.95788194260952,-42275,38.70682730923695
2010-09-28,412807,73869,100.0,10108,63.34663284539097,-95922,18.18779881430484
2010-10-05,459878,91702,100.0,12926,64.58762704997446,-123799,7.525339453050297
2010-10-12,443019,69654,88.66653987118264,19801,67.61524775845972,-101898,14.423937664925624
2010-10-19,432080,57170,82.24931761754712,26335,70.49269847980412,-104671,13.344672172620205
2010-10-26,453896,67844,87.73613517083977,31416,72.73027532632247,-115901,8.973899912039668
2010-11-02,442944,60839,84.13531476978909,37037,77.9604842685755,-114332,3.915624030606969
2010-11-09,435008,47104,77.0750337978503,48480,84.66978611489296,-102704,8.72505428600972
2010-11-16,465344,67220,87.41537686530721,35187,83.01341589267285,-97642,10.818736428497571
2010-11-23,413327,49403,78.25680197800955,27606,79.28792569659443,-81191,17.62299658773653
2010-11-30,402007,65904,86.73890582351098,23455,77.24802201582386,-72920,21.043945817392203
2010-12-07,412606,62749,85.11712304473653,31945,81.42021720969089,-88604,14.556922758763314
2010-12-14,520747,46200,76.61034548342491,54729,92.61683620816747,-99896,9.886464688243201
2010-12-21,333555,95272,100.0,67493,98.88938031352892,-183746,0.0
2010-12-28,323261,83280,93.94676667894947,71074,100.0,-177714,1.9991913085555577
2011-01-04,358757,72586,88.54872822537088,86385,100.0,-186781,0.0
2011-01-11,354431,66639,85.54684542347898,92908,100.0,-176607,3.338397477334401
2011-01-18,375996,70637,87.56492637891262,92528,99.83233691455801,-181992,1.5714159149748816
2011-01-25,383350,83574,94.09516983074974,77238,93.08610381874738,-183659,1.0244227368034204
2011-02-01,366300,88710,96.68768203362795,56254,83.8275717531823,-168868,5.877797720807069
2011-02-08,350582,50877,77.59061930553382,80495,94.5231529484436,-155675,10.20682051601768
2011-02-15,354378,54488,79.41335325502628,80598,94.5685984689713,-156986,9.776641717827646
2011-02-22,373325,70095,87.29133961606993,83002,95.62928809371483,-163531,7.629029029685946
2011-03-01,360389,56659,80.5092146242725,59878,85.4265481259238,-144631,13.830691337688716
2011-03-08,363766,68439,86.45543614878677,56321,83.85713340245758,-145245,13.629219345248838
2011-03-15,428273,57745,81.0573976952082,33794,73.91780096626883,-104084,27.135389835180163
2011-03-22,274824,17487,60.736261351074404,22897,69.1098413818968,-47430,45.72528276626952
2011-03-29,314742,38448,70.88173651927502,20201,67.92031591255046,-69543,38.469337865906276
2011-04-05,360997,43313,72.34428725023686,33803,73.92177193408193,-98981,28.809838658340908
2011-04-12,336108,26610,63.00638452627892,25361,70.19700412539433,-75474,36.523197170204455
2011-04-19,315826,24720,61.98809299318445,15831,65.99219042996756,-61960,40.95754978556686
2011-04-26,365429,40935,70.72438781282831,22584,68.9717399457301,-87533,32.566274113474016
2011-05-03,412576,56172,78.93375717248996,29304,71.93672924617795,-113469,24.05588714943381
2011-05-10,399383,64087,83.19818970394117,23356,69.31236074036488,-112021,24.531019796099844
2011-05-17,362823,43383,72.04331779855069,9548,63.22001367777802,-74819,36.73812250415905
2011-05-24,344740,44197,72.48188356994693,1678,59.74762293454522,-65227,39.88554815804067
2011-05-31,351232,53246,77.35729102125481,-2785,57.77846411789363,-69321,38.542182788254244
2011-06-07,340737,30417,65.05751461436923,-5754,56.4684859582166,-35930,49.49878099600665
2011-06-14,401154,14308,56.37833032515288,-32102,44.84325707604403,-13791,56.763257283671905
2011-06-21,270658,-13084,41.6201072169392,-8312,55.33984866200446,-4225,59.90215155025152
2011-06-28,267870,-17838,39.058753805123786,18164,67.02155353085222,-3925,60.00059063450552
2011-07-05,292653,-1045,48.10646264917432,25172,70.11361380131925,-30424,51.30546632234862
2011-07-12,356267,51291,76.30397887987931,24310,69.73328332855347,-90718,31.52117916897725
2011-07-19,363827,62819,82.51501845316666,28085,71.39888371682588,-96457,29.638039487197997
2011-07-26,364339,48333,74.71027181379813,39133,76.2734673167288,-93126,30.731041452698378
2011-08-02,353814,50822,76.05129172166698,32536,73.36274790972666,-84948,33.41449088946275
2011-08-09,329768,61287,81.6896096549123,19680,67.69044099803658,-75034,36.66757449377701
2011-08-16,342998,2002,49.748121009671074,9122,63.032054534624635,-21496,54.235013469748026
