date,building_permits_k,housing_starts_k,months_supply_new
1987-03-01,1704,1726,6
1987-04-01,1601,1614,6
1987-05-01,1500,1628,6.7
1987-06-01,1522,1594,6.9
1987-07-01,1516,1575,6.7
1987-08-01,1511,1605,6.8
1987-09-01,1514,1695,6.8
1987-10-01,1447,1515,6.8
1987-11-01,1457,1656,7
1987-12-01,1345,1400,7.6
1988-01-01,1244,1271,7.5
1988-02-01,1438,1473,6.6
1988-03-01,1525,1532,6.6
1988-04-01,1429,1573,6.4
1988-05-01,1444,1421,6.6
1988-06-01,1485,1478,6.2
1988-07-01,1439,1467,6.6
1988-08-01,1460,1493,6.6
1988-09-01,1436,1492,6.5
1988-10-01,1516,1522,6
1988-11-01,1508,1569,7.2
1988-12-01,1501,1563,6.8
1989-01-01,1466,1621,6.2
1989-02-01,1383,1425,7.5
1989-03-01,1214,1422,8.2
1989-04-01,1376,1339,7.4
1989-05-01,1381,1331,7.1
1989-06-01,1322,1397,7.2
1989-07-01,1283,1427,6.1
1989-08-01,1334,1332,6.4
1989-09-01,1314,1279,7.1
1989-10-01,1365,1410,6.9
1989-11-01,1344,1351,6.6
1989-12-01,1422,1251,7
1990-01-01,1748,1551,7
1990-02-01,1329,1437,7.6
1990-03-01,1246,1289,7.8
1990-04-01,1136,1248,8.3
1990-05-01,1067,1212,8.2
1990-06-01,1108,1177,7.9
1990-07-01,1078,1171,7.8
1990-08-01,1069,1115,8.2
1990-09-01,976,1110,8.4
1990-10-01,925,1014,8.7
1990-11-01,941,1145,8.2
1990-12-01,861,969,8.5
1991-01-01,786,798,9.4
1991-02-01,853,965,7.9
1991-03-01,911,921,7.3
1991-04-01,916,1001,7.3
1991-05-01,991,996,7
1991-06-01,964,1036,7
1991-07-01,973,1063,7.1
1991-08-01,944,1049,6.8
1991-09-01,974,1015,7.4
1991-10-01,991,1079,6.7
1991-11-01,984,1103,6.2
1991-12-01,1061,1079,6.2
1992-01-01,1077,1176,5.2
1992-02-01,1146,1250,4.9
1992-03-01,1082,1297,6.1
1992-04-01,1054,1099,6.1
1992-05-01,1056,1214,6
1992-06-01,1057,1145,5.6
1992-07-01,1089,1139,5.3
1992-08-01,1075,1226,5.2
1992-09-01,1114,1186,5
1992-10-01,1132,1244,5.1
1992-11-01,1118,1214,5.4
1992-12-01,1176,1227,5
1993-01-01,1177,1210,5.4
1993-02-01,1148,1210,5.3
1993-03-01,1056,1083,5.4
1993-04-01,1104,1258,4.7
1993-05-01,1112,1260,5.3
1993-06-01,1130,1280,5.2
1993-07-01,1174,1254,5.3
1993-08-01,1230,1300,5.5
1993-09-01,1251,1343,4.9
1993-10-01,1287,1392,5
1993-11-01,1357,1376,4.8
1993-12-01,1461,1533,4.5
1994-01-01,1390,1272,5.9
1994-02-01,1269,1337,5
1994-03-01,1342,1564,4.8
1994-04-01,1392,1465,5.2
1994-05-01,1396,1526,5.3
1994-06-01,1357,1409,6.2
1994-07-01,1335,1439,6.3
1994-08-01,1377,1450,6.1
1994-09-01,1412,1474,6
1994-10-01,1397,1450,5.6
1994-11-01,1340,1511,6.3
1994-12-01,1396,1455,6.6
1995-01-01,1282,1407,6.8
1995-02-01,1254,1316,7.3
1995-03-01,1226,1249,6.8
1995-04-01,1259,1267,6.7
1995-05-01,1271,1314,6.3
1995-06-01,1305,1281,5.8
1995-07-01,1354,1461,5.6
1995-08-01,1386,1416,6.1
1995-09-01,1421,1369,6.3
1995-10-01,1400,1369,6.3
1995-11-01,1430,1452,6.8
1995-12-01,1442,1431,6.4
1996-01-01,1387,1467,6.4
1996-02-01,1420,1491,5.3
1996-03-01,1437,1424,6.2
1996-04-01,1463,1516,6
1996-05-01,1457,1504,5.9
1996-06-01,1429,1467,6
1996-07-01,1450,1472,5.7
1996-08-01,1413,1557,5
1996-09-01,1392,1475,5.2
1996-10-01,1358,1392,5.6
1996-11-01,1412,1489,5.2
1996-12-01,1411,1370,5
1997-01-01,1382,1355,4.7
1997-02-01,1445,1486,4.5
1997-03-01,1436,1457,4.1
1997-04-01,1421,1492,4.7
1997-05-01,1414,1442,4.6
1997-06-01,1402,1494,4.4
1997-07-01,1440,1437,4.4
1997-08-01,1449,1390,4.3
1997-09-01,1494,1546,4.2
1997-10-01,1499,1520,4.3
1997-11-01,1469,1510,3.9
1997-12-01,1456,1566,4.4
1998-01-01,1555,1525,4
1998-02-01,1647,1584,3.9
1998-03-01,1605,1567,4.1
1998-04-01,1547,1540,4
1998-05-01,1554,1536,3.9
1998-06-01,1551,1641,3.8
1998-07-01,1610,1698,4
1998-08-01,1654,1614,4.1
1998-09-01,1577,1582,4.1
1998-10-01,1719,1715,4
1998-11-01,1672,1660,3.5
1998-12-01,1742,1792,3.8
1999-01-01,1732,1748,3.9
1999-02-01,1720,1670,4
1999-03-01,1665,1710,4.1
1999-04-01,1600,1553,3.9
1999-05-01,1640,1611,4
1999-06-01,1702,1559,3.9
1999-07-01,1682,1669,4
1999-08-01,1671,1648,4
1999-09-01,1551,1635,4.5
1999-10-01,1649,1608,4.2
1999-11-01,1672,1648,4.3
1999-12-01,1683,1708,4.3
2000-01-01,1727,1636,4.3
2000-02-01,1692,1737,4.3
2000-03-01,1651,1604,4.3
2000-04-01,1597,1626,4.4
2000-05-01,1543,1575,4.4
2000-06-01,1572,1559,4.8
