date,total_pc,index_pc,etp_pc,equity_pc,call_volume,put_volume
2021-03-22,0.72,1.4,0.92,0.39,2847842.0,2056791.0
2021-03-23,0.81,1.36,1.22,0.44,2805778.0,2285897.0
2021-03-24,0.89,1.47,1.13,0.57,3087163.0,2745011.0
2021-03-25,0.88,1.43,1.1,0.58,3272002.0,2870729.0
2021-03-26,0.89,1.36,1.15,0.58,3645646.0,3233570.0
2021-03-29,0.85,1.34,1.11,0.51,2920163.0,2483321.0
2021-03-30,0.77,1.51,1.0,0.48,2533935.0,1953076.0
2021-03-31,0.74,1.08,1.21,0.42,3491988.0,2599332.0
2021-04-01,0.72,1.36,0.95,0.42,3708482.0,2665873.0
2021-04-02,,,,,,
2021-04-05,0.69,1.27,0.83,0.38,3734529.0,2584350.0
2021-04-06,0.67,1.24,0.93,0.41,2850680.0,1907680.0
2021-04-07,0.8,1.41,0.97,0.47,2780476.0,2219571.0
2021-04-08,0.72,0.95,1.08,0.45,3081781.0,2220773.0
2021-04-09,0.75,1.17,0.87,0.5,3375721.0,2546976.0
2021-04-12,0.73,1.12,0.9,0.48,2908465.0,2125608.0
2021-04-13,0.69,1.24,0.86,0.44,3068390.0,2112122.0
2021-04-14,0.78,1.44,0.96,0.43,3207832.0,2505501.0
2021-04-15,0.76,1.37,0.9,0.48,3258939.0,2487986.0
2021-04-16,0.77,1.47,0.83,0.44,3743712.0,2866828.0
2021-04-19,0.84,1.42,1.2,0.45,2988276.0,2512450.0
2021-04-20,0.79,1.07,1.26,0.48,3030104.0,2408677.0
2021-04-21,0.71,1.17,0.89,0.43,2777118.0,1977942.0
2021-04-22,0.79,1.48,0.89,0.52,2940246.0,2337231.0
2021-04-23,0.8,1.25,0.88,0.55,3163082.0,2524243.0
2021-04-26,0.65,1.23,0.61,0.43,2670769.0,1746053.0
2021-04-27,0.7,1.12,0.93,0.5,2278200.0,1589172.0
2021-04-28,0.81,1.54,1.26,0.43,2577772.0,2082719.0
2021-04-29,0.71,1.17,0.92,0.47,2967602.0,2101754.0
2021-04-30,0.95,1.41,1.35,0.59,2657547.0,2534494.0
2021-05-03,0.75,1.29,0.73,0.51,2568017.0,1931113.0
2021-05-04,0.86,1.13,1.19,0.56,2922433.0,2511582.0
2021-05-05,0.88,1.64,1.24,0.46,2444214.0,2150455.0
2021-05-06,0.87,1.45,1.16,0.57,2623102.0,2294936.0
2021-05-07,0.86,1.42,0.98,0.51,3273546.0,2805639.0
2021-05-10,0.9,1.43,0.95,0.59,3072663.0,2778333.0
2021-05-11,0.99,1.23,1.52,0.57,3152264.0,3107229.0
2021-05-12,0.98,1.04,1.5,0.63,3744322.0,3660033.0
2021-05-13,1.0,1.58,1.09,0.63,2855471.0,2862963.0
2021-05-14,0.9,1.37,0.93,0.54,3404115.0,3063867.0
2021-05-17,0.92,1.54,0.98,0.55,2647420.0,2435064.0
2021-05-18,0.85,1.47,0.94,0.48,2606508.0,2209779.0
2021-05-19,1.07,1.52,1.21,0.58,2903687.0,3113736.0
2021-05-20,0.84,1.56,0.93,0.48,2794432.0,2333735.0
2021-05-21,0.85,1.7,0.9,0.53,3289311.0,2786446.0
2021-05-24,0.76,1.37,1.06,0.41,3015797.0,2297038.0
2021-05-25,0.82,1.46,1.17,0.49,2361630.0,1941400.0
2021-05-26,0.76,1.54,0.85,0.44,2933546.0,2215315.0
2021-05-27,0.71,1.32,1.07,0.41,3188857.0,2267072.0
2021-05-28,0.73,1.4,1.05,0.45,3505641.0,2571891.0
2021-05-31,,,,,,
2021-06-01,0.66,1.28,0.63,0.42,3234149.0,2144304.0
2021-06-02,0.69,1.37,1.46,0.37,3209038.0,2221416.0
2021-06-03,0.67,1.36,1.22,0.41,3320555.0,2231787.0
