date,open_interest,lev_money_net,lev_money_cot_index,asset_mgr_net,asset_mgr_cot_index,dealer_net,dealer_cot_index
2009-09-22,2284722,-249648,33.12491325800539,893381,88.32893012998998,-602603,41.87317641874036
2009-09-29,2338950,-246958,33.44675596904567,921070,92.61686555931007,-594661,42.49376055860387
2009-10-06,2334675,-241546,34.09427000330218,867000,84.2435523785041,-473196,51.98497845693184
2009-10-13,2323932,-286445,28.72236818806143,905240,90.16542210356458,-478429,51.5760743013154
2009-10-20,2392419,-335799,22.817451771450997,961515,98.8802029293433,-486042,50.98119806651549
2009-10-27,2472585,-303303,26.705407436121998,937299,95.07338922058125,-492660,50.464070663138926
2009-11-03,2531749,-181796,41.24300680057238,851086,81.49045419650386,-474675,51.86941009343925
2009-11-09,2560834,-218970,36.79535589343058,1020672,100.0,-572940,44.1910292695048
2009-11-17,2606977,-183233,41.0710781850464,1048540,100.0,-687200,35.26280667811672
2009-11-24,2639563,-139141,46.346427186975056,1034429,97.97521064352458,-653433,37.90134415617904
2009-12-01,2657480,-122505,48.33682694194388,1058417,100.0,-691727,34.90906903002277
2009-12-08,2770435,-158742,44.00128258507895,1041850,97.6560189816197,-587155,43.080275863793425
2009-12-15,3378983,-95415,51.57798643714136,1045027,98.10551663933649,-643786,38.65515619310466
2009-12-22,2375469,-275916,29.982101238077462,1005392,92.49776100080787,-663791,37.09197491408559
2009-12-29,2400627,-300643,27.02366082324733,1057022,99.80120502530895,-681459,35.71140571450004
2010-01-05,2406829,-247778,33.34864778203711,998638,91.48117219207442,-664242,37.05673398647561
2010-01-12,2445201,-329543,23.565945451848023,994182,90.84616831592868,-560441,45.16769524333431
2010-01-19,2479545,-313919,25.435265346752615,990309,90.04239890055264,-550758,45.9243203033064
2010-01-26,2633024,-359338,20.001148583652785,843478,68.57525073832568,-389049,58.56018540947458
2010-02-02,2710912,-326082,23.980033787502453,773504,58.34483464428784,-349939,61.616222391350895
2010-02-09,2835286,-214155,37.37144238177964,757443,54.27379449384618,-370673,59.996077395640754
2010-02-16,2827987,-234531,34.93357357874737,794913,58.976658306438935,-391240,58.38898170128508
2010-02-23,2847974,-243699,33.83667619033945,826507,63.895336798857905,-365384,60.40935736488503
2010-03-02,2870663,-253646,32.6465760242734,837128,65.5488559565455,-376989,59.50254813004293
2010-03-09,2971944,-267022,31.04621613472886,787525,57.82646533619169,-347943,61.772188891372
2010-03-16,3578829,-259338,31.965561633477385,796771,57.64765678619064,-309342,64.78845285295235
2010-03-23,2348917,-489208,4.462965355845573,818179,61.112945625008095,-400734,57.64712501230698
2010-03-30,2419469,-520809,0.6820911879705006,853330,66.80279838908098,-405935,57.24072132162073
2010-04-06,2408236,-491344,4.207405493101319,813384,60.336784377711304,-369112,60.118053200516975
2010-04-13,2426056,-514408,1.4479332672897733,798465,57.921862657498416,-335876,62.715098588643826
2010-04-20,2496089,-471856,6.539030308251139,814759,60.55935407844814,-345059,61.99754329320608
2010-04-27,2575827,-484601,5.014165865050992,796898,57.66821413309506,-322485,63.76146502240261
2010-05-04,2566615,-483474,5.1490048001225155,779204,54.804106289576936,-295537,65.86716905174555
2010-05-11,2659978,-415907,13.232999765497505,777882,54.59011563912306,-443972,54.268528054435116
2010-05-18,2641156,-360454,19.86762573401674,768330,53.043944161713476,-484030,51.13841479900169
2010-05-25,2735512,-281432,29.322144214249136,610450,27.488086450927835,-398331,57.83489430065902
2010-06-01,2820119,-378189,17.74573707963035,741741,48.74001269051966,-363264,60.57501316651065
2010-06-08,3046422,-329541,23.04125592842403,676653,38.204291467567955,-335467,62.74705765603292
2010-06-15,3426436,-369603,18.215154358874898,730768,46.963825544203154,-364127,60.507578752924374
2010-06-22,2607245,-514953,0.7054478256522321,787178,56.09484868497727,-465829,52.56063236758085
2010-06-29,2752345,-427643,11.223318327308036,712590,44.02137316602567,-451894,53.649506705152994
2010-07-06,2875146,-470500,6.060514798623317,729864,46.81749608277327,-393222,58.234109154670946
2010-07-13,2812693,-594379,0.0,820554,61.49738419900807,-315659,64.29484544782545
2010-07-20,2814633,-488368,11.731020127677798,785994,55.903195939033715,-335995,62.70579998468465
2010-07-27,2780454,-489858,11.566138936195406,780467,55.008546676508296,-343629,62.1092828197743
2010-08-03,2745286,-488670,11.697601255310227,770654,53.420127423177036,-360309,60.80591547490861
2010-08-10,2752036,-475142,13.194589683749022,807517,59.38709969827642,-387518,58.67981702847873
2010-08-17,2826725,-402112,21.275981236741725,709530,43.526054413840434,-324413,63.610812010358174
2010-08-24,2939121,-379903,23.733596257971563,671111,37.30721417194359,-214840,72.17279462900133
2010-08-31,3042646,-363889,25.505681761595078,701217,40.360209640875624,-209247,72.6098290150825
2010-09-07,3025949,-401955,21.293354624032155,721481,39.29770134200983,-219215,71.83093418932583
2010-09-14,3460098,-419818,19.31666152104559,793313,50.85679541460594,-289444,91.36954886449362
2010-09-21,2480461,-425878,18.64607090333868,855990,62.47543803711915,-445924,74.52985419157521
2010-09-28,2570715,-408460,20.57352096591607,872715,65.57580655924902,-501376,68.56235196124115
2010-10-05,2643979,-413977,19.963017923360123,845792,60.58500107516517,-493630,69.39594267530317
2010-10-12,2687051,-422170,19.056392687242514,898846,70.41979638596206,-546763,63.67800110413641
2010-10-19,2689641,-421705,19.107848898007152,917971,73.96506083951863,-519431,66.61935165884123
2010-10-26,2696003,-344407,27.661531004856805,939474,77.95114301179716,-598621,58.09726946847561
2010-11-02,2709889,-305011,32.02103397105837,906577,71.85291740507033,-589827,59.04364136874175
2010-11-09,2801910,-366745,25.189641034834192,976413,84.79864751636846,-601911,57.74321402705242
2010-11-16,2859310,-393363,22.24413260874136,913408,73.11920244989359,-482209,70.62502085052942
2010-11-23,2836389,-391121,22.492229005589362,932073,76.57919518326005,-461463,72.85761482857367
2010-11-30,2882495,-333068,28.91628793788959,923306,74.95402742041925,-488399,69.95888006560249
2010-12-07,2979326,-384915,23.178975766891195,976383,84.79308631722563,-518964,66.66960816070888
2010-12-14,3391166,-358115,26.14462404321879,1005888,90.2625256742027,-584426,59.62487341710852
2010-12-21,2435858,-255557,37.49354030902497,914185,73.26323750769299,-627732,54.964470697876635
2010-12-28,2479708,-283713,34.37783908259662,958055,81.39556438756368,-618599,55.947324298642
2011-01-04,2499724,-264142,36.54353693394018,897212,70.11689640598236,-581995,59.8864870274732
2011-01-11,2533574,-229551,40.37132572224048,855717,62.424831124919365,-606695,57.22838082590695
2011-01-18,2575471,-293835,33.25775356569409,895209,69.74559367654582,-544084,63.966303392152454
2011-01-25,2649692,-290430,33.634545818712574,927401,75.71313110341606,-555978,62.686323021244405
2011-02-01,2707779,-289891,33.69419075979245,875327,66.06000163128508,-549109,63.425534822805474
2011-02-08,2775873,-346546,27.424832435339464,933571,76.85688439379223,-498496,68.87228499203107
2011-02-15,2837103,-377122,24.041337595899435,936922,77.47807033804676,-472060,71.71721193715678
2011-02-22,2899999,-317642,30.62330623306233,947802,79.49493189384783,-458845,73.13935256281255
2011-03-01,2970595,-334740,28.731266896172432,892270,69.20078153385288,-479343,70.93344726241965
2011-03-08,3037799,-245500,38.60643302227224,908793,72.26370464842098,-522753,66.26185251707591
2011-03-15,3595592,-142816,49.969292261317875,891651,69.08603545820573,-515172,67.07768665124894
2011-03-22,2571151,-507465,9.617774413758838,864846,64.1171040240837,-213782,99.51196309214158
2011-03-29,2655711,-527899,7.356578261576817,906307,71.80286661278483,-234723,97.25838406513759
2011-04-05,2682037,-520309,8.19647641147706,871499,65.35039262065948,-217553,99.10614452995105
2011-04-12,2695345,-541014,5.905291800978443,885537,67.9526630728962,-212072,99.6959858291731
2011-04-19,2708468,-502877,10.12547569330328,908268,72.1663836634214,-213565,99.53531568508652
2011-04-26,2745754,-470953,13.65813821470187,938924,77.84918769417854,-282661,92.09950572138527
2011-05-03,2816881,-417701,19.550925603171915,929259,76.05755470366223,-325064,87.53627992118231
2011-05-10,2707707,-437564,17.352915464638517,963808,82.46201700985445,-354440,84.37496300712523
2011-05-17,2725544,-437759,17.3313370536727,952083,80.28851501153021,-336212,86.3365808144997
2011-05-24,2803618,-426897,18.533309873727568,965772,82.8260901804053,-300610,90.16791267636857
2011-05-31,2866938,-446892,16.320692810848076,990380,87.38775646396714,-271439,93.30716838510901
2011-06-07,3009071,-393813,22.19433627574332,932535,76.6648376500597,-325046,87.53821700262475
2011-06-14,3425322,-363501,25.548617266491163,949231,79.75983034635148,-364621,83.27932822015576
2011-06-21,2537969,-480466,12.605443735123345,914505,73.32255696521656,-373183,82.35792314736993
2011-06-28,2516434,-408736,20.542979215010607,936362,77.37426128738053,-406997,78.71900804211646
2011-07-05,2494190,-399344,21.582284013938548,926027,75.45842818267427,-370244,82.6742055006656
2011-07-12,2601431,-313291,31.10478144389447,828162,57.316869712226485,-378155,81.82285820671457
2011-07-19,2599222,-332668,28.960551344998954,848323,61.05418090951559,-344318,85.46424847158893
2011-07-26,2581474,-380835,23.630462519406738,903047,71.19854963926355,-329112,87.10065182790538
2011-08-02,2811337,-249487,38.16523751190962,680874,30.013606400569465,-229630,97.80647049771154
2011-08-09,3386290,-55301,59.65357244425854,600253,15.06862519742257,-175821,100.0
2011-08-16,3229005,-282624,34.49834620845188,622425,19.1787221105863,-148175,100.0
2011-08-23,3438382,-237563,39.48472967783986,575785,10.532911176527291,-104033,100.0
2011-08-30,3569848,-380944,23.618400740969435,639080,22.266114501382887,-134109,97.09255283257625
2011-09-06,3762716,-297767,32.82264427380901,522963,0.7411224724349896,-107156,99.69809956430828
2011-09-13,4089537,-252646,37.815667254263396,442345,0.0,-27996,100.0
2011-09-20,2920552,-589816,0.5049348166001055,525200,13.448915061875885,96031,100.0
2011-09-27,2976793,-320856,30.267649756938564,326959,0.0,58353,96.94794133061593
2011-10-04,3143543,-310211,31.4456096786366,194142,0.0,124198,100.0
2011-10-11,3011932,-380751,23.639757834899704,358809,19.0526163547482,54416,94.47349205418959
2011-10-18,3003811,-436107,17.514144925034387,416784,25.76055075062914,61088,95.00189280244052
2011-10-25,3004309,-377789,23.96752836454457,375516,20.9856816406815,48668,94.01826910740505
2011-11-01,2848461,-262481,36.72734073196183,380728,21.588730438807094,5937,90.63411257660306
2011-11-08,2891815,-330796,29.167704090270792,455819,30.277053021318444,-35910,87.31996597707412
2011-11-15,2962579,-269848,35.91211943152506,395244,23.268288449856815,-59167,85.47808704990504
2011-11-22,3035521,-311699,31.28094980418975,345684,17.534002487634144,-278,90.14190474531115
2011-11-29,3015865,-323829,29.938661983598198,422503,26.422261432992972,-50650,86.1526058108243
2011-12-06,3017064,-193920,44.31419936902513,455531,30.2437302941772,-111903,81.30156698699113
2011-12-13,3406086,-188987,49.4528243194613,394632,23.19747765468167,-111866,81.30449726692
2011-12-20,2561308,-292618,36.81112039572799,383766,21.94023892858176,-159362,77.54296819933506
2011-12-27,2610560,-353090,29.434282194070178,458256,30.559023458968497,-184216,75.57461205469644
2012-01-03,2671088,-332155,31.988094003696226,427014,26.944201787625467,-213287,69.96470362077129
2012-01-10,2592195,-273829,39.10314667187148,432322,27.558358161464813,-229001,67.44007463360762
2012-01-17,2624154,-298909,36.04369598233619,499669,35.35066963640045,-262421,64.35922586069253
2012-01-24,2683566,-325276,32.82724716531158,573823,43.93057765178907,-340293,54.45072590965477
2012-01-31,2730177,-267026,40.81606443729583,573411,43.8829076393509,-316066,49.62879230789473
2012-02-07,2724897,-292811,37.60105733024114,663490,54.30540048017124,-342519,42.79903177375372
2012-02-14,2756775,-357546,29.52956285379417,730593,62.06948020016777,-370641,39.35239145754818
2012-02-21,2802676,-367109,28.337198573601658,762793,65.79514622082093,-388447,37.170083034592636
2012-02-28,2827921,-371721,27.76215056981123,773447,67.02785571721964,-391835,36.754848791249195
2012-03-06,2970409,-413873,26.32288133368721,718330,60.65060310665008,-362196,40.387413058798295
2012-03-13,3318585,-400616,35.94340707652696,782193,68.03980214630761,-504348,22.965223519318563
2012-03-20,2694315,-386880,38.49146134696649,734651,62.53900668190101,-502916,23.140729846493244
2012-03-27,2732746,-409712,34.25608168020212,784146,68.26577188973417,-553251,16.971657934246405
2012-04-03,2753427,-326021,49.7809222413083,725712,61.50472939747187,-562133,15.883077488739774
2012-04-10,2775438,-360338,43.41505310919756,640070,51.59561482167134,-485477,25.278058645096056
2012-04-17,2804377,-350772,45.18956440440901,640901,51.69176477394348,-521864,20.818457578821583
2012-04-24,2819711,-346360,46.00799884246807,594889,46.36799629747476,-496832,23.88638661641695
2012-05-01,2858768,-314860,51.851309086996686,624128,49.751063029706984,-556377,16.588534485400004
2012-05-08,2867529,-410880,34.03941544637325,587806,45.548465476844754,-466394,27.616876551153595
2012-05-15,2967815,-352937,44.787952763792994,511983,36.775447629516066,-428266,32.289855072463766
2012-05-22,3000650,-473552,22.413639584624118,516225,37.26626363136733,-309425,46.85504182369703
2012-05-29,3040378,-486617,19.990057097488677,500223,35.41476960458188,-279637,50.505867573612775
2012-06-05,3166379,-455426,25.776047251047157,417467,25.839576523675913,-270496,51.62619113276343
2012-06-12,3420267,-545425,9.081060625735052,571517,43.66376442683173,-339599,43.156907804026105
2012-06-19,2590421,-490606,19.250089968427574,556593,41.93699921899858,-232459,56.28801666819867
2012-06-26,2741979,-460569,24.822010914932534,464564,31.288883746492722,-205663,59.572142047369546
2012-07-03,2730453,-419630,32.41627371178197,540423,40.066066934714065,-292014,48.98893893433833
2012-07-10,2795931,-500210,17.46852960054018,514408,37.056029620201905,-236007,55.85317277936085
2012-07-17,2808514,-507505,16.115293148672365,510879,36.64771050880796,-227528,56.89236143027851
2012-07-24,2860141,-511954,15.289995139849891,479366,33.001533076856326,-191439,61.31543953181971
2012-07-31,2756499,-429757,30.537695843644148,576049,44.188134563651616,-308936,46.914973802739226
2012-08-07,2831826,-444124,27.87258986640152,603421,47.35518208903416,-351021,41.75702423629623
2012-08-14,2922565,-524787,12.909449096420184,669570,55.00888027537532,-314141,46.27704752275025
